model      ,capacity  ,thickness (mm) ,width (mm) ,length (mm) ,voltage
LP1496107  ,1500 mAh  ,1.4            ,96         ,107         ,3.7V   
LP158098   ,1220 mAh  ,1.5            ,80         ,98          ,3.7V   
LP1510192  ,1700 mAh  ,1.5            ,101        ,92          ,3.7V   
LP188595   ,2050 mAh  ,1.8            ,85         ,95          ,3.7V   
LP189292   ,2000 mAh  ,1.8            ,92         ,92          ,3.7V   
LP1896142  ,3200 mAh  ,1.8            ,96         ,142         ,3.7V   
LP199084   ,2000 mAh  ,1.9            ,90         ,84          ,3.7V   
LP201570   ,140 mAh   ,2.0            ,15         ,70          ,3.7V   
LP202051   ,120 mAh   ,2.0            ,20         ,51          ,3.7V   
LP2165136  ,2300 mAh  ,2.1            ,65         ,136         ,3.7V   
LP23108130 ,4650 mAh  ,2.3            ,108        ,130         ,3.7V   
LP2390135  ,3800 mAh  ,2.3            ,90         ,135         ,3.7V   
LP245367   ,1000 mAh  ,2.4            ,53         ,67          ,3.7V   
LP246586   ,2000 mAh  ,2.4            ,65         ,86          ,3.7V   
LP246588   ,2100 mAh  ,2.4            ,65         ,88          ,3.7V   
LP2481119  ,3200 mAh  ,2.4            ,81         ,119         ,3.7V   
LP2492101  ,3200 mAh  ,2.4            ,92         ,101         ,3.7V   
LP25100115 ,4000 mAh  ,2.5            ,100        ,115         ,3.7V   
LP2558112  ,2400 mAh  ,2.5            ,58         ,112         ,3.7V   
LP255875   ,1500 mAh  ,2.5            ,58         ,75          ,3.7V   
LP256070   ,1200 mAh  ,2.5            ,60         ,70          ,3.7V   
LP256599   ,2100 mAh  ,2.5            ,65         ,99          ,3.7V   
LP258396   ,2880 mAh  ,2.5            ,83         ,96          ,3.7V   
LP266380   ,1650 mAh  ,2.6            ,63         ,80          ,3.7V   
LP2688127  ,3200 mAh  ,2.6            ,88         ,127         ,3.7V   
LP2766111  ,2800 mAh  ,2.7            ,66         ,111         ,3.7V   
LP278496   ,3520 mAh  ,2.7            ,84         ,96          ,3.7V   
LP284065   ,1000 mAh  ,2.8            ,40         ,65          ,3.7V   
LP2852145  ,3500 mAh  ,2.8            ,52         ,145         ,3.7V   
LP2858120  ,2400 mAh  ,2.8            ,58         ,120         ,3.7V   
LP2866103  ,2500 mAh  ,2.8            ,66         ,103         ,3.7V   
LP2868147  ,3700 mAh  ,2.8            ,68         ,147         ,3.7V   
LP2869121  ,3030 mAh  ,2.8            ,69         ,121         ,3.7V   
LP2898122  ,5020 mAh  ,2.8            ,98         ,122         ,3.7V   
LP2898125  ,5000 mAh  ,2.8            ,98         ,125         ,3.7V   
LP29100100 ,3500 mAh  ,2.9            ,100        ,100         ,3.7V   
LP2950138  ,4020 mAh  ,2.9            ,50         ,138         ,3.7V   
LP2952145  ,3500 mAh  ,2.9            ,52         ,145         ,3.7V   
LP295476   ,1500 mAh  ,2.9            ,54         ,76          ,3.7V   
LP295586   ,1850 mAh  ,2.9            ,55         ,86          ,3.7V   
LP2983122  ,4200 mAh  ,2.9            ,83         ,122         ,3.7V   
LP298645   ,1400 mAh  ,2.9            ,86         ,45          ,3.7V   
LP299097   ,4020 mAh  ,2.9            ,90         ,97          ,3.7V   
LP30100102 ,4000 mAh  ,3.0            ,100        ,102         ,3.7V   
LP30102125 ,5000 mAh  ,3.0            ,102        ,125         ,3.7V   
LP301643   ,160 mAh   ,3.0            ,16         ,43          ,3.7V   
LP302248   ,300 mAh   ,3.0            ,22         ,48          ,3.7V   
LP303046   ,400 mAh   ,3.0            ,30         ,46          ,3.7V   
LP303072   ,800 mAh   ,3.0            ,30         ,72          ,3.7V   
LP303947   ,700 mAh   ,3.0            ,39         ,47          ,3.7V   
LP304093   ,1400 mAh  ,3.0            ,40         ,93          ,3.7V   
LP304463   ,500 mAh   ,3.0            ,44         ,63          ,3.7V   
LP304466   ,1000 mAh  ,3.0            ,44         ,66          ,3.7V   
LP305070   ,1525 mAh  ,3.0            ,50         ,70          ,3.7V   
LP305673   ,1850 mAh  ,3.0            ,56         ,73          ,3.7V   
LP3060134  ,3625 mAh  ,3.0            ,60         ,134         ,3.7V   
LP306262   ,1700 mAh  ,3.0            ,62         ,62          ,3.7V   
LP3065121  ,3450 mAh  ,3.0            ,65         ,121         ,3.7V   
LP3066123  ,3770 mAh  ,3.0            ,66         ,123         ,3.7V   
LP306887   ,2000 mAh  ,3.0            ,68         ,87          ,3.7V   
LP3069121  ,3030 mAh  ,3.0            ,69         ,121         ,3.7V   
LP306998   ,2600 mAh  ,3.0            ,69         ,98          ,3.7V   
LP307095   ,2500 mAh  ,3.0            ,70         ,95          ,3.7V   
LP3072139  ,4750 mAh  ,3.0            ,72         ,139         ,3.7V   
LP3092140  ,6000 mAh  ,3.0            ,92         ,140         ,3.7V   
LP309594   ,4020 mAh  ,3.0            ,95         ,94          ,3.7V   
LP309595   ,4000 mAh  ,3.0            ,95         ,95          ,3.7V   
LP309781   ,3750 mAh  ,3.0            ,97         ,81          ,3.7V   
LP31100100 ,4000 mAh  ,3.1            ,100        ,100         ,3.7V   
LP3110794  ,5000 mAh  ,3.1            ,107        ,94          ,3.7V   
LP315073   ,1500 mAh  ,3.1            ,50         ,73          ,3.7V   
LP3153100  ,2550 mAh  ,3.1            ,53         ,100         ,3.7V   
LP3161147  ,4000 mAh  ,3.1            ,61         ,147         ,3.7V   
LP3165115  ,3250 mAh  ,3.1            ,65         ,115         ,3.7V   
LP316678   ,2050 mAh  ,3.1            ,66         ,78          ,3.7V   
LP3172120  ,4000 mAh  ,3.1            ,72         ,120         ,3.7V   
LP3192140  ,7000 mAh  ,3.1            ,92         ,140         ,3.7V   
LP321026   ,40 mAh    ,3.2            ,10         ,26          ,3.7V   
LP322988   ,1100 mAh  ,3.2            ,29         ,88          ,3.7V   
LP325883   ,2500 mAh  ,3.2            ,58         ,83          ,3.7V   
LP325987   ,2250 mAh  ,3.2            ,59         ,87          ,3.7V   
LP326990   ,2500 mAh  ,3.2            ,69         ,90          ,3.7V   
LP3280128  ,5000 mAh  ,3.2            ,80         ,128         ,3.7V   
LP3298103  ,4150 mAh  ,3.2            ,98         ,103         ,3.7V   
LP3310099  ,5150 mAh  ,3.3            ,100        ,99          ,3.7V   
LP333564   ,800 mAh   ,3.3            ,35         ,64          ,3.7V   
LP3349118  ,2930 mAh  ,3.3            ,49         ,118         ,3.7V   
LP336678   ,2200 mAh  ,3.3            ,66         ,78          ,3.7V   
LP343994   ,1810 mAh  ,3.4            ,39         ,94          ,3.7V   
LP345054   ,900 mAh   ,3.4            ,50         ,54          ,3.7V   
LP345367   ,1700 mAh  ,3.4            ,53         ,67          ,3.7V   
LP352044   ,270 mAh   ,3.5            ,20         ,44          ,3.7V   
LP353040   ,350 mAh   ,3.5            ,30         ,40          ,3.7V   
LP353955   ,1000 mAh  ,3.5            ,39         ,55          ,3.7V   
LP354081   ,1200 mAh  ,3.5            ,40         ,81          ,3.7V   
LP354271   ,1600 mAh  ,3.5            ,42         ,71          ,3.7V   
LP354350   ,1100 mAh  ,3.5            ,43         ,50          ,3.7V   
LP355268   ,1500 mAh  ,3.5            ,52         ,68          ,3.7V   
LP3553123  ,2500 mAh  ,3.5            ,53         ,123         ,3.7V   
LP355659   ,1550 mAh  ,3.5            ,56         ,59          ,3.7V   
LP3558132  ,4400 mAh  ,3.5            ,58         ,132         ,3.7V   
LP356269   ,2150 mAh  ,3.5            ,62         ,69          ,3.7V   
LP3563133  ,4750 mAh  ,3.5            ,63         ,33          ,3.7V   
LP3563137  ,4100 mAh  ,3.5            ,63         ,37          ,3.7V   
LP3571123  ,5000 mAh  ,3.5            ,71         ,23          ,3.7V   
LP362248   ,400 mAh   ,3.6            ,22         ,48          ,3.7V   
LP363084   ,1100 mAh  ,3.6            ,30         ,84          ,3.7V   
LP365266   ,1350 mAh  ,3.6            ,52         ,66          ,3.7V   
LP365479   ,2500 mAh  ,3.6            ,54         ,79          ,3.7V   
LP366073   ,2000 mAh  ,3.6            ,60         ,73          ,3.7V   
LP3666100  ,2600 mAh  ,3.6            ,66         ,100         ,3.7V   
LP3670138  ,5000 mAh  ,3.6            ,70         ,138         ,3.7V   
LP367275   ,3050 mAh  ,3.6            ,72         ,75          ,3.7V   
LP373654   ,1000 mAh  ,3.7            ,36         ,54          ,3.7V   
LP373664   ,1250 mAh  ,3.7            ,36         ,64          ,3.7V   
LP373966   ,1200 mAh  ,3.7            ,39         ,66          ,3.7V   
LP374065   ,1220 mAh  ,3.7            ,40         ,65          ,3.7V   
LP374249   ,900 mAh   ,3.7            ,42         ,49          ,3.7V   
LP374270   ,1400 mAh  ,3.7            ,42         ,70          ,3.7V   
LP374448   ,1020 mAh  ,3.7            ,44         ,48          ,3.7V   
LP375292   ,2400 mAh  ,3.7            ,52         ,92          ,3.7V   
LP376073   ,2000 mAh  ,3.7            ,60         ,73          ,3.7V   
LP376176   ,2150 mAh  ,3.7            ,61         ,76          ,3.7V   
LP3772100  ,4500 mAh  ,3.7            ,72         ,100         ,3.7V   
LP382846   ,600 mAh   ,3.8            ,28         ,46          ,3.7V   
LP383759   ,1000 mAh  ,3.8            ,37         ,59          ,3.7V   
LP384074   ,1800 mAh  ,3.8            ,40         ,74          ,3.7V   
LP384354   ,1200 mAh  ,3.8            ,43         ,54          ,3.7V   
LP384377   ,1800 mAh  ,3.8            ,43         ,77          ,3.7V   
LP385085   ,1920 mAh  ,3.8            ,50         ,85          ,3.7V   
LP393952   ,1150 mAh  ,3.9            ,39         ,52          ,3.7V   
LP395759   ,2050 mAh  ,3.9            ,57         ,59          ,3.7V   
LP395780   ,3000 mAh  ,3.9            ,57         ,80          ,3.7V   
LP395880   ,3000 mAh  ,3.9            ,58         ,80          ,3.7V   
LP396281   ,3000 mAh  ,3.9            ,62         ,81          ,3.7V   
LP396283   ,3200 mAh  ,3.9            ,62         ,83          ,3.7V   
LP396681   ,3400 mAh  ,3.9            ,66         ,81          ,3.7V   
LP402340   ,350 mAh   ,4.0            ,23         ,40          ,3.7V   
LP4027110  ,1000 mAh  ,4.0            ,27         ,110         ,3.7V   
LP403035   ,430 mAh   ,4.0            ,30         ,35          ,3.7V   
LP403496   ,1550 mAh  ,4.0            ,34         ,96          ,3.7V   
LP403578   ,1500 mAh  ,4.0            ,35         ,78          ,3.7V   
LP404050   ,850 mAh   ,4.0            ,40         ,50          ,3.7V   
LP404149   ,1200 mAh  ,4.0            ,41         ,49          ,3.7V   
LP404265   ,1370 mAh  ,4.0            ,42         ,65          ,3.7V   
LP404376   ,2000 mAh  ,4.0            ,43         ,76          ,3.7V   
LP404655   ,1300 mAh  ,4.0            ,46         ,55          ,3.7V   
LP404668   ,1850 mAh  ,4.0            ,46         ,68          ,3.7V   
LP404860   ,1600 mAh  ,4.0            ,48         ,60          ,3.7V   
LP4050109  ,2800 mAh  ,4.0            ,50         ,109         ,3.7V   
LP405070   ,1500 mAh  ,4.0            ,50         ,70          ,3.7V   
LP405080   ,2100 mAh  ,4.0            ,50         ,80          ,3.7V   
LP405465   ,1500 mAh  ,4.0            ,54         ,65          ,3.7V   
LP405566   ,2250 mAh  ,4.0            ,55         ,66          ,3.7V   
LP4056105  ,3000 mAh  ,4.0            ,56         ,105         ,3.7V   
LP405665   ,2200 mAh  ,4.0            ,56         ,65          ,3.7V   
LP405779   ,3000 mAh  ,4.0            ,57         ,79          ,3.7V   
LP4060100  ,3000 mAh  ,4.0            ,60         ,100         ,3.7V   
LP406063   ,1550 mAh  ,4.0            ,60         ,63          ,3.7V   
LP406395   ,2800 mAh  ,4.0            ,63         ,95          ,3.7V   
LP4065116  ,4000 mAh  ,4.0            ,65         ,116         ,3.7V   
LP4088110  ,5000 mAh  ,4.0            ,88         ,110         ,3.7V   
LP4088111  ,5020 mAh  ,4.0            ,88         ,111         ,3.7V   
LP412340   ,350 mAh   ,4.1            ,23         ,40          ,3.7V   
LP413068   ,1200 mAh  ,4.1            ,30         ,68          ,3.7V   
LP414356   ,1000 mAh  ,4.1            ,43         ,56          ,3.7V   
LP414367   ,1800 mAh  ,4.1            ,43         ,67          ,3.7V   
LP414565   ,1550 mAh  ,4.1            ,45         ,65          ,3.7V   
LP414879   ,1800 mAh  ,4.1            ,48         ,79          ,3.7V   
LP4154115  ,4050 mAh  ,4.1            ,54         ,115         ,3.7V   
LP4155107  ,4000 mAh  ,4.1            ,55         ,107         ,3.7V   
LP415780   ,3000 mAh  ,4.1            ,57         ,80          ,3.7V   
LP416072   ,2800 mAh  ,4.1            ,60         ,72          ,3.7V   
LP4167124  ,4300 mAh  ,4.1            ,67         ,124         ,3.7V   
LP4180100  ,5000 mAh  ,4.1            ,80         ,100         ,3.7V   
LP4188110  ,5000 mAh  ,4.1            ,88         ,110         ,3.7V   
LP4188111  ,5000 mAh  ,4.1            ,88         ,111         ,3.7V   
LP422675   ,1180 mAh  ,4.2            ,26         ,75          ,3.7V   
LP423458   ,1280 mAh  ,4.2            ,34         ,58          ,3.7V   
LP424250   ,1150 mAh  ,4.2            ,42         ,50          ,3.7V   
LP424348   ,1000 mAh  ,4.2            ,43         ,48          ,3.7V   
LP424985   ,2400 mAh  ,4.2            ,49         ,85          ,3.7V   
LP425063   ,1600 mAh  ,4.2            ,50         ,63          ,3.7V   
LP425763   ,1600 mAh  ,4.2            ,57         ,63          ,3.7V   
LP425995   ,4000 mAh  ,4.2            ,59         ,95          ,3.7V   
LP426084   ,3500 mAh  ,4.2            ,60         ,84          ,3.7V   
LP426386   ,3700 mAh  ,4.2            ,63         ,86          ,3.7V   
LP426897   ,4500 mAh  ,4.2            ,68         ,97          ,3.7V   
LP427199   ,5000 mAh  ,4.2            ,71         ,99          ,3.7V   
LP4277100  ,4300 mAh  ,4.2            ,77         ,100         ,3.7V   
LP428785   ,4250 mAh  ,4.2            ,87         ,85          ,3.7V   
LP429076   ,3900 mAh  ,4.2            ,90         ,76          ,3.7V   
LP433438   ,750 mAh   ,4.3            ,34         ,38          ,3.7V   
LP4343127  ,3815 mAh  ,4.3            ,43         ,127         ,3.7V   
LP4350130  ,3600 mAh  ,4.3            ,50         ,130         ,3.7V   
LP435157   ,1600 mAh  ,4.3            ,51         ,57          ,3.7V   
LP4357115  ,4600 mAh  ,4.3            ,57         ,115         ,3.7V   
LP436043   ,1400 mAh  ,4.3            ,60         ,43          ,3.7V   
LP436074   ,1700 mAh  ,4.3            ,60         ,74          ,3.7V   
LP436165   ,2400 mAh  ,4.3            ,61         ,65          ,3.7V   
LP436484   ,4000 mAh  ,4.3            ,64         ,84          ,3.7V   
LP436596   ,4400 mAh  ,4.3            ,65         ,96          ,3.7V   
LP4384115  ,5000 mAh  ,4.3            ,84         ,115         ,3.7V   
LP439593   ,5000 mAh  ,4.3            ,95         ,93          ,3.7V   
LP442982   ,1000 mAh  ,4.4            ,29         ,82          ,3.7V   
LP443565   ,1250 mAh  ,4.4            ,35         ,65          ,3.7V   
LP4441110  ,3100 mAh  ,4.4            ,41         ,110         ,3.7V   
LP444261   ,1500 mAh  ,4.4            ,42         ,61          ,3.7V   
LP444763   ,1900 mAh  ,4.4            ,47         ,63          ,3.7V   
LP444958   ,1500 mAh  ,4.4            ,49         ,58          ,3.7V   
LP445385   ,2800 mAh  ,4.4            ,53         ,85          ,3.7V   
LP451645   ,260 mAh   ,4.5            ,16         ,45          ,3.7V   
LP452050   ,340 mAh   ,4.5            ,20         ,50          ,3.7V   
LP452480   ,1000 mAh  ,4.5            ,24         ,80          ,3.7V   
LP453640   ,600 mAh   ,4.5            ,36         ,40          ,3.7V   
LP454068   ,1850 mAh  ,4.5            ,40         ,68          ,3.7V   
LP454260   ,1400 mAh  ,4.5            ,42         ,60          ,3.7V   
LP454262   ,1450 mAh  ,4.5            ,42         ,62          ,3.7V   
LP454880   ,2000 mAh  ,4.5            ,48         ,80          ,3.7V   
LP4550105  ,2700 mAh  ,4.5            ,50         ,105         ,3.7V   
LP455070   ,2100 mAh  ,4.5            ,50         ,70          ,3.7V   
LP4553102  ,4000 mAh  ,4.5            ,53         ,102         ,3.7V   
LP455486   ,3400 mAh  ,4.5            ,54         ,86          ,3.7V   
LP455886   ,4000 mAh  ,4.5            ,58         ,86          ,3.7V   
LP456380   ,4000 mAh  ,4.5            ,63         ,80          ,3.7V   
LP456385   ,3600 mAh  ,4.5            ,63         ,85          ,3.7V   
LP4572135  ,6300 mAh  ,4.5            ,72         ,135         ,3.7V   
LP4572136  ,6320 mAh  ,4.5            ,72         ,136         ,3.7V   
LP464159   ,1590 mAh  ,4.6            ,41         ,59          ,3.7V   
LP465277   ,3000 mAh  ,4.6            ,52         ,77          ,3.7V   
LP465375   ,2950 mAh  ,4.6            ,53         ,75          ,3.7V   
LP465466   ,2000 mAh  ,4.6            ,54         ,66          ,3.7V   
LP465466   ,2450 mAh  ,4.6            ,54         ,66          ,3.7V   
LP465467   ,2500 mAh  ,4.6            ,54         ,67          ,3.7V   
LP466480   ,3500 mAh  ,4.6            ,64         ,80          ,3.7V   
LP466589   ,5000 mAh  ,4.6            ,65         ,89          ,3.7V   
LP466652   ,2600 mAh  ,4.6            ,66         ,52          ,3.7V   
LP466666   ,3020 mAh  ,4.6            ,66         ,66          ,3.7V   
LP466684   ,4300 mAh  ,4.6            ,66         ,84          ,3.7V   
LP4672133  ,6300 mAh  ,4.6            ,72         ,133         ,3.7V   
LP4672135  ,6300 mAh  ,4.6            ,72         ,135         ,3.7V   
LP473040   ,580 mAh   ,4.7            ,30         ,40          ,3.7V   
LP474067   ,1750 mAh  ,4.7            ,40         ,67          ,3.7V   
LP474197   ,2550 mAh  ,4.7            ,41         ,97          ,3.7V   
LP474846   ,1530 mAh  ,4.7            ,48         ,46          ,3.7V   
LP475266   ,2500 mAh  ,4.7            ,52         ,66          ,3.7V   
LP475775   ,3020 mAh  ,4.7            ,57         ,75          ,3.7V   
LP475868   ,2400 mAh  ,4.7            ,58         ,68          ,3.7V   
LP476261   ,2600 mAh  ,4.7            ,62         ,61          ,3.7V   
LP476490   ,4000 mAh  ,4.7            ,64         ,90          ,3.7V   
LP476495   ,4950 mAh  ,4.7            ,64         ,95          ,3.7V   
LP478074   ,3600 mAh  ,4.7            ,80         ,74          ,3.7V   
LP478666   ,4200 mAh  ,4.7            ,86         ,66          ,3.7V   
LP483052   ,760 mAh   ,4.8            ,30         ,52          ,3.7V   
LP483764   ,1400 mAh  ,4.8            ,37         ,64          ,3.7V   
LP484254   ,1450 mAh  ,4.8            ,42         ,54          ,3.7V   
LP484588   ,3030 mAh  ,4.8            ,45         ,88          ,3.7V   
LP484594   ,2200 mAh  ,4.8            ,45         ,94          ,3.7V   
LP485265   ,2500 mAh  ,4.8            ,52         ,65          ,3.7V   
LP4853145  ,5000 mAh  ,4.8            ,53         ,145         ,3.7V   
LP485490   ,4000 mAh  ,4.8            ,54         ,90          ,3.7V   
LP4860100  ,5050 mAh  ,4.8            ,60         ,100         ,3.7V   
LP4860100  ,4900 mAh  ,4.8            ,60         ,100         ,3.7V   
LP486079   ,3000 mAh  ,4.8            ,60         ,79          ,3.7V   
LP486762   ,2520 mAh  ,4.8            ,67         ,62          ,3.7V   
LP4874132  ,7500 mAh  ,4.8            ,74         ,132         ,3.7V   
LP489670   ,5000 mAh  ,4.8            ,96         ,70          ,3.7V   
LP491730   ,200 mAh   ,4.9            ,17         ,30          ,3.7V   
LP493238   ,700 mAh   ,4.9            ,32         ,38          ,3.7V   
LP493975   ,1600 mAh  ,4.9            ,39         ,75          ,3.7V   
LP495055   ,1700 mAh  ,4.9            ,50         ,55          ,3.7V   
LP495486   ,2750 mAh  ,4.9            ,54         ,86          ,3.7V   
LP4956121  ,5000 mAh  ,4.9            ,56         ,121         ,3.7V   
LP496292   ,5000 mAh  ,4.9            ,62         ,92          ,3.7V   
LP496385   ,3800 mAh  ,4.9            ,63         ,85          ,3.7V   
LP496774   ,3750 mAh  ,4.9            ,67         ,74          ,3.7V   
LP496867   ,3600 mAh  ,4.9            ,68         ,67          ,3.7V   
LP501245   ,210 mAh   ,5.0            ,12         ,45          ,3.7V   
LP501543   ,280 mAh   ,5.0            ,15         ,43          ,3.7V   
LP501630   ,210 mAh   ,5.0            ,16         ,30          ,3.7V   
LP501653   ,400 mAh   ,5.0            ,16         ,53          ,3.7V   
LP501738   ,280 mAh   ,5.0            ,17         ,38          ,3.7V   
LP502050   ,500 mAh   ,5.0            ,20         ,50          ,3.7V   
LP502240   ,450 mAh   ,5.0            ,22         ,40          ,3.7V   
LP5025125  ,2200 mAh  ,5.0            ,25         ,125         ,3.7V   
LP502968   ,1200 mAh  ,5.0            ,29         ,68          ,3.7V   
LP503045   ,650 mAh   ,5.0            ,30         ,45          ,3.7V   
LP503068   ,1500 mAh  ,5.0            ,30         ,68          ,3.7V   
LP503448   ,1000 mAh  ,5.0            ,34         ,48          ,3.7V   
LP503450   ,900 mAh   ,5.0            ,34         ,50          ,3.7V   
LP503471   ,1600 mAh  ,5.0            ,34         ,71          ,3.7V   
LP503471   ,1800 mAh  ,5.0            ,34         ,71          ,3.7V   
LP503495   ,1850 mAh  ,5.0            ,34         ,95          ,3.7V   
LP503561   ,1200 mAh  ,5.0            ,35         ,61          ,3.7V   
LP5036108  ,3150 mAh  ,5.0            ,36         ,108         ,3.7V   
LP503986   ,2000 mAh  ,5.0            ,39         ,86          ,3.7V   
LP504045   ,1200 mAh  ,5.0            ,40         ,45          ,3.7V   
LP504046   ,1050 mAh  ,5.0            ,40         ,46          ,3.7V   
LP504058   ,1500 mAh  ,5.0            ,40         ,58          ,3.7V   
LP504065   ,1600 mAh  ,5.0            ,40         ,65          ,3.7V   
LP504154   ,1550 mAh  ,5.0            ,41         ,54          ,3.7V   
LP504253   ,1500 mAh  ,5.0            ,42         ,53          ,3.7V   
LP504354   ,1650 mAh  ,5.0            ,43         ,54          ,3.7V   
LP504383   ,2300 mAh  ,5.0            ,43         ,83          ,3.7V   
LP5045116  ,4400 mAh  ,5.0            ,45         ,116         ,3.7V   
LP504658   ,1980 mAh  ,5.0            ,46         ,58          ,3.7V   
LP504860   ,1500 mAh  ,5.0            ,48         ,60          ,3.7V   
LP5049131  ,5100 mAh  ,5.0            ,49         ,131         ,3.7V   
LP5050110  ,3000 mAh  ,5.0            ,50         ,110         ,3.7V   
LP5050130  ,4320 mAh  ,5.0            ,50         ,130         ,3.7V   
LP505059   ,2000 mAh  ,5.0            ,50         ,59          ,3.7V   
LP505060   ,2000 mAh  ,5.0            ,50         ,60          ,3.7V   
LP505192   ,3000 mAh  ,5.0            ,51         ,92          ,3.7V   
LP505198   ,3200 mAh  ,5.0            ,51         ,98          ,3.7V   
LP505571   ,3000 mAh  ,5.0            ,55         ,71          ,3.7V   
LP505573   ,2500 mAh  ,5.0            ,55         ,73          ,3.7V   
LP505585   ,2600 mAh  ,5.0            ,55         ,85          ,3.7V   
LP505665   ,1550 mAh  ,5.0            ,56         ,115         ,3.7V   
LP5059115  ,3650 mAh  ,5.0            ,59         ,115         ,3.7V   
LP505973   ,3450 mAh  ,5.0            ,59         ,73          ,3.7V   
LP506080   ,1930 mAh  ,5.0            ,60         ,80          ,3.7V   
LP506568   ,3500 mAh  ,5.0            ,65         ,68          ,3.7V   
LP506584   ,2400 mAh  ,5.0            ,65         ,84          ,3.7V   
LP506584   ,3550 mAh  ,5.0            ,65         ,84          ,3.7V   
LP508075   ,3600 mAh  ,5.0            ,80         ,75          ,3.7V   
LP514568   ,1600 mAh  ,5.1            ,45         ,68          ,3.7V   
LP515060   ,2000 mAh  ,5.1            ,50         ,60          ,3.7V   
LP515070   ,2600 mAh  ,5.1            ,50         ,70          ,3.7V   
LP515476   ,1800 mAh  ,5.1            ,54         ,76          ,3.7V   
LP515479   ,1900 mAh  ,5.1            ,54         ,79          ,3.7V   
LP515570   ,1700 mAh  ,5.1            ,55         ,70          ,3.7V   
LP516281   ,3700 mAh  ,5.1            ,62         ,81          ,3.7V   
LP516570   ,3000 mAh  ,5.1            ,65         ,70          ,3.7V   
LP516583   ,3700 mAh  ,5.1            ,65         ,83          ,3.7V   
LP516584   ,4750 mAh  ,5.1            ,65         ,84          ,3.7V   
LP516783   ,3500 mAh  ,5.1            ,67         ,83          ,3.7V   
LP517183   ,4000 mAh  ,5.1            ,71         ,83          ,3.7V   
LP522272   ,1100 mAh  ,5.2            ,22         ,72          ,3.7V   
LP523036   ,720 mAh   ,5.2            ,30         ,36          ,3.7V   
LP523860   ,1800 mAh  ,5.2            ,38         ,60          ,3.7V   
LP524460   ,1700 mAh  ,5.2            ,44         ,60          ,3.7V   
LP524658   ,1800 mAh  ,5.2            ,46         ,58          ,3.7V   
LP5248143  ,4300 mAh  ,5.2            ,48         ,143         ,3.7V   
LP525060   ,2000 mAh  ,5.2            ,50         ,60          ,3.7V   
LP525070   ,2500 mAh  ,5.2            ,50         ,70          ,3.7V   
LP526274   ,2100 mAh  ,5.2            ,62         ,74          ,3.7V   
LP526577   ,3800 mAh  ,5.2            ,65         ,77          ,3.7V   
LP5271165  ,8500 mAh  ,5.2            ,71         ,165         ,3.7V   
LP5272100  ,3000 mAh  ,5.2            ,72         ,100         ,3.7V   
LP528275   ,5000 mAh  ,5.2            ,82         ,75          ,3.7V   
LP531434   ,205 mAh   ,5.3            ,14         ,34          ,3.7V   
LP533136   ,700 mAh   ,5.3            ,31         ,36          ,3.7V   
LP533477   ,1850 mAh  ,5.3            ,34         ,77          ,3.7V   
LP534272   ,2000 mAh  ,5.3            ,42         ,72          ,3.7V   
LP534487   ,3220 mAh  ,5.3            ,44         ,87          ,3.7V   
LP534490   ,2650 mAh  ,5.3            ,44         ,90          ,3.7V   
LP534740   ,1000 mAh  ,5.3            ,47         ,40          ,3.7V   
LP534758   ,1850 mAh  ,5.3            ,47         ,58          ,3.7V   
LP535058   ,1850 mAh  ,5.3            ,50         ,58          ,3.7V   
LP535060   ,2000 mAh  ,5.3            ,50         ,60          ,3.7V   
LP535068   ,2900 mAh  ,5.3            ,50         ,68          ,3.7V   
LP535068   ,2700 mAh  ,5.3            ,50         ,68          ,3.7V   
LP536062   ,2500 mAh  ,5.3            ,60         ,62          ,3.7V   
LP543048   ,1000 mAh  ,5.4            ,30         ,48          ,3.7V   
LP543061   ,1350 mAh  ,5.4            ,30         ,61          ,3.7V   
LP543877   ,2270 mAh  ,5.4            ,38         ,77          ,3.7V   
LP544497   ,3620 mAh  ,5.4            ,44         ,97          ,3.7V   
LP545169   ,2400 mAh  ,5.4            ,51         ,69          ,3.7V   
LP545385   ,3600 mAh  ,5.4            ,53         ,85          ,3.7V   
LP546069   ,2100 mAh  ,5.4            ,60         ,69          ,3.7V   
LP546080   ,2300 mAh  ,5.4            ,60         ,80          ,3.7V   
LP546081   ,4000 mAh  ,5.4            ,60         ,81          ,3.7V   
LP546381   ,3800 mAh  ,5.4            ,63         ,81          ,3.7V   
LP546582   ,4500 mAh  ,5.4            ,65         ,82          ,3.7V   
LP546591   ,4700 mAh  ,5.4            ,65         ,91          ,3.7V   
LP546984   ,4000 mAh  ,5.4            ,69         ,84          ,3.7V   
LP551220   ,65 mAh    ,5.5            ,12         ,20          ,3.7V   
LP551245   ,220 mAh   ,5.5            ,12         ,45          ,3.7V   
LP552525   ,240 mAh   ,5.5            ,25         ,25          ,3.7V   
LP553048   ,600 mAh   ,5.5            ,30         ,48          ,3.7V   
LP553246   ,900 mAh   ,5.5            ,32         ,46          ,3.7V   
LP553248   ,1080 mAh  ,5.5            ,32         ,48          ,3.7V   
LP553450   ,1100 mAh  ,5.5            ,34         ,50          ,3.7V   
LP553560   ,1400 mAh  ,5.5            ,35         ,60          ,3.7V   
LP553649   ,1300 mAh  ,5.5            ,36         ,49          ,3.7V   
LP553652   ,1500 mAh  ,5.5            ,36         ,52          ,3.7V   
